10456	2013-12-31	220500
10459	1997-12-31	135400
10459	1998-12-31	137000
10459	1999-12-31	139400
10459	2000-12-31	141700
10459	2001-12-31	166500
10459	2002-12-31	204600
10459	2003-12-31	188800
10459	2004-12-31	218100
10459	2005-12-31	273800
10459	2006-12-31	312900
10459	2007-12-31	312000
10459	2008-12-31	302700
10459	2009-12-31	273300
10459	2010-12-31	283200
10459	2011-12-31	279200
10459	2012-12-31	261100
10459	2013-12-31	262600
10461	2002-12-31	271400
10461	2003-12-31	310500
10461	2004-12-31	361300
10461	2005-12-31	422600
10461	2006-12-31	450900
10461	2007-12-31	446300
10461	2008-12-31	424800
10461	2009-12-31	423100
10461	2010-12-31	400900
10461	2011-12-31	385200
10461	2012-12-31	385600
10461	2013-12-31	374500
10463	1997-12-31	174100
10463	1998-12-31	205500
10463	1999-12-31	235800
10463	2000-12-31	252600
10463	2001-12-31	323300
10463	2002-12-31	296500
10463	2003-12-31	336600
10463	2004-12-31	393100
10463	2005-12-31	443500
10463	2006-12-31	443800
10463	2007-12-31	460500
10463	2008-12-31	531300
10463	2009-12-31	429000
10463	2010-12-31	419400
10463	2011-12-31	413300
10463	2012-12-31	405300
10463	2013-12-31	423900
10464	2003-12-31	388500
10464	2004-12-31	418000
10464	2005-12-31	515100
10464	2006-12-31	551400
10464	2007-12-31	495300
10464	2008-12-31	454100
10464	2009-12-31	483300
10464	2010-12-31	445500
10464	2011-12-31	418900
10464	2012-12-31	419700
10464	2013-12-31	438200
10465	2002-12-31	272300
10465	2003-12-31	316500
10465	2004-12-31	356700
10465	2005-12-31	413700
10465	2006-12-31	445400
10465	2007-12-31	429000
10465	2008-12-31	416000
10465	2009-12-31	416500
10465	2010-12-31	401700
10465	2011-12-31	380000
10465	2012-12-31	388300
10465	2013-12-31	372900
10466	2002-12-31	240600
10466	2003-12-31	249100
10466	2004-12-31	286900
10466	2005-12-31	346500
10466	2006-12-31	389400
10466	2007-12-31	398400
10466	2008-12-31	372700
10466	2009-12-31	342700
10466	2010-12-31	328200
10466	2011-12-31	316300
10466	2012-12-31	310100
10466	2013-12-31	318600
10467	1997-12-31	147000
10467	1998-12-31	148300
10467	1999-12-31	156000
10467	2000-12-31	167100
10467	2001-12-31	209200
10467	2002-12-31	235700
10467	2003-12-31	220600
10467	2004-12-31	280500
10467	2005-12-31	329900
10467	2006-12-31	358500
10467	2007-12-31	345500
10467	2008-12-31	310000
10467	2009-12-31	305000
10467	2010-12-31	297300
10467	2011-12-31	278900
10467	2012-12-31	273000
10467	2013-12-31	282000
10469	2002-12-31	252800
10469	2003-12-31	261600
10469	2004-12-31	311100
10469	2005-12-31	367700
10469	2006-12-31	398900
10469	2007-12-31	403200
